index,pos_x,pos_y,capacity,load,failed
8,-0.47636353,0.84697391,36.60728621977991,20.885424887303657,False
6,-0.46103965,0.87625013,11.73340436864256,5.112573743713472,False
7,-0.44286497,0.86248309,47.47699105365304,16.941628992645512,False
9,-0.51394334,0.80726772,239.21596186114755,151.36989513266826,False
10,-0.54091005,0.78653983,45.77860201707771,15.50235020462756,False
13,-0.62515378,1.21771892,57.25667657586633,9.993069808624739,False
5,-0.64033359,1.2279699,46.98061162946494,17.693521078586038,False
12,-0.62225221,1.25290839,19.219646289942283,6.0044840219275235,False
14,-0.68733234,1.23912697,212.38815215698978,87.86006779817025,False
15,-0.60276396,1.24048325,39.173648786304085,23.30817961077834,False
16,-0.67496422,1.27106322,35.575553158472914,8.758557902002538,False
17,-0.69772971,1.27278825,37.365080397770036,6.249816143640452,False
19,-0.74383364,1.09164436,138.13096918180975,92.39610124248176,False
18,-0.73577977,1.11615716,90.13327205157877,51.95413880279482,False
20,-0.75267267,1.02395625,28.404272646623376,12.128354899181433,False
29,-0.71575518,1.20589668,44.79696391747297,21.364182742816116,False
34,-0.79844258,0.73898561,66.66328475628049,6.990771392697611,False
33,-0.81635608,0.7226469,36.37018296676451,9.687765630488487,False
35,-0.83142904,0.7609491,244.5048170922772,150.598376790576,False
36,-0.76415418,0.86092761,144.77020477204638,81.05740828525957,False
37,-0.76195365,0.83764807,34.428619345526585,16.19106135583668,False
38,-0.78779406,0.84473496,27.39755179325643,12.759464023858596,False
39,-0.7880513,0.86914743,21.97697705332085,6.562895985177766,False
42,-0.53279558,0.89476036,81.52740455362161,15.216826071257993,False
41,-0.56336493,1.00034152,127.79517586234724,51.699573232291,False
47,-0.69554032,0.89417637,206.55008671882467,136.11005569295133,False
44,-0.68442922,0.91311592,25.760676809883925,11.712810393170468,False
45,-0.70903819,0.91429828,38.78777934042848,11.247263858266823,False
46,-0.80311205,0.90750019,47.65411392930786,12.005484855379619,False
50,-0.57027991,0.77202865,67.97980416709834,11.273812576513418,False
51,-0.65288573,1.16567864,133.64649656891436,65.91115375076005,False
21,-0.66721109,1.19584214,45.98823167017865,10.351769164134192,False
53,-0.27689742,0.84327002,35.189982500274,16.9836393527818,False
24,-0.29142353,0.80504661,97.89851160273147,62.487769504971936,False
58,-0.5837504,1.03957295,40.02831370203913,17.61188631534455,False
25,-0.60279962,1.07153132,67.76349232168445,46.17341417566085,False
59,-0.61812182,1.04313012,74.30890058469778,32.38400020725847,False
60,-0.64935267,1.02538418,49.61744804995337,14.808395242320382,False
61,-0.48270783,0.79526572,58.51835967150619,13.29238777744359,False
62,-0.65035063,0.99646077,75.44621317975106,20.042388535416116,False
31,-0.62739637,0.97912947,68.47887554334817,19.910059917472076,False
68,-1.08162864,0.68113048,168.1378673396979,30.552824341388362,False
63,-1.07670176,0.65069626,30.51569363944987,9.241272413430055,False
64,-1.09857982,0.65258329,40.73308655614336,15.891550212468783,False
65,-1.11143389,0.67043281,49.3301441246742,25.79756737916622,False
69,-0.94213437,0.67035605,101.8253062790103,68.28237347522547,False
66,-0.93014788,0.65061007,44.378220119836,8.229148618197764,False
70,-0.7292878,0.62999765,114.08594318597358,32.313825125323575,False
67,-0.75316979,0.62827766,17.588692137596173,10.038198706869483,False
73,-0.23803604,0.89547518,139.80517301368852,102.1424996561574,False
72,-0.236534,0.92793713,132.30056976632002,74.73477796105888,False
75,-0.55182057,0.8347731,62.933915126381905,41.198494184956445,False
48,-0.59762678,0.8545123,118.4541097039699,84.3331778251829,False
77,-0.52597735,0.97972457,129.7752273689621,73.80592696021722,False
76,-0.50855976,1.04104922,168.03016151652616,56.802591241870864,False
79,-0.84734134,1.03951053,81.15331414858767,45.38920251963723,False
